,SPY,XLF,XLK,XLU,XLI,XLV,XLY,XLP,XLB,XOP,XHB,XME,XRT,ETH,LTC
2010-01-04,113.32,14.69,23.24,31.1,23.57,31.6,30.0,26.45,33.98,43.14,15.33,54.15,17.94,13.7,27.54
2010-01-05,113.63,14.94,23.24,30.74,23.65,31.41,30.12,26.69,34.14,43.57,15.43,55.05,18.055,13.47,27.12
2010-01-06,113.74,14.99,22.99,30.9,23.7,31.57,30.13,26.65,34.64,43.93,15.53,57.18,18.25,13.26,27.47
2010-01-07,114.2,15.31,22.89,30.75,23.96,31.7,30.39,26.74,34.49,43.73,16.18,56.83,18.315,13.9,27.99
2010-01-08,114.57,15.22,23.04,30.71,24.34,31.78,30.38,26.6,34.87,44.06,16.25,58.76,18.295,14.25,27.67
2010-01-11,114.73,15.23,22.96,31.06,24.61,31.92,30.34,26.57,34.78,43.57,16.16,57.98,18.235,14.36,26.98
2010-01-12,113.66,15.0,22.7,30.92,24.41,31.73,29.96,26.54,34.11,42.57,15.91,56.53,18.095,14.65,27.0
2010-01-13,114.64,15.17,22.9,31.21,24.51,32.16,30.26,26.8,34.46,42.98,16.03,57.15,18.285,15.09,27.44
2010-01-14,114.92,15.26,22.98,31.12,24.51,32.43,30.27,26.94,34.1,43.41,15.95,56.61,18.09,15.05,27.39
2010-01-15,113.66,14.94,22.68,30.91,24.19,32.25,30.01,26.94,33.76,43.0,15.64,55.36,17.925,14.7,27.63
2010-01-19,115.06,15.12,23.03,31.26,24.46,32.94,30.35,26.84,34.29,43.29,15.8599,56.4519,18.105,14.87,27.73
2010-01-20,113.89,15.1,22.68,30.94,24.08,32.74,29.97,26.88,33.78,42.89,15.55,54.93,17.915,14.46,27.38
2010-01-21,111.68,14.67,22.47,30.49,23.53,32.01,29.6,26.71,32.3,42.29,15.26,51.47,17.61,14.83,26.65
2010-01-22,109.22,14.19,21.67,29.85,23.17,31.64,29.05,26.25,31.58,41.34,14.94,49.9,17.37,15.11,26.14
2010-01-25,109.75,14.25,21.84,30.01,23.32,31.65,29.15,26.48,31.84,41.73,15.1,50.4,17.455,15.01,25.55
2010-01-26,109.3,14.02,21.81,30.13,23.22,31.49,29.18,26.21,31.47,41.16,15.11,49.5,17.485,14.97,24.82
2010-01-27,109.83,14.34,21.93,29.97,23.28,31.7,29.3,26.28,31.23,40.83,15.15,49.02,17.54,14.9,25.71
2010-01-28,108.56,14.29,21.35,29.7,23.02,31.47,29.09,26.51,30.65,40.44,15.17,48.2,17.355,14.7,25.36
2010-01-29,107.42,14.19,20.95,29.51,22.78,31.3,28.92,26.42,30.18,39.59,15.09,46.13,17.32,14.48,25.4
2010-02-01,109.0,14.41,21.24,29.71,23.13,31.44,29.26,26.36,31.31,41.15,15.22,48.91,17.585,14.27,25.85
2010-02-02,110.4,14.56,21.41,29.96,23.57,32.05,29.66,26.45,31.43,42.05,15.91,49.54,17.96,15.02,26.15
2010-02-03,109.86,14.39,21.46,29.76,23.43,31.7,29.71,26.66,31.1,41.36,15.71,48.87,17.84,14.86,25.59
2010-02-04,106.47,13.78,20.87,28.99,22.73,30.88,28.86,26.51,29.9,39.5,15.17,45.44,17.34,14.45,25.02
2010-02-05,106.75,13.96,21.07,28.89,22.63,30.82,28.73,26.0,30.44,39.46,15.05,46.88,17.38,14.49,25.51
2010-02-08,105.89,13.64,20.97,28.58,22.39,30.7,28.62,26.05,29.97,39.29,15.2,45.62,17.255,14.1,25.12
2010-02-09,107.24,13.8,21.17,28.85,22.82,30.89,29.05,26.19,30.72,40.06,15.44,47.51,17.595,14.54,24.98
2010-02-10,107.0,13.92,21.1,28.76,22.78,30.73,28.88,26.26,30.53,39.94,15.37,47.04,17.535,14.8,25.2
2010-02-11,108.09,13.94,21.33,28.92,23.13,30.94,29.22,26.22,31.03,40.65,15.79,49.05,17.735,14.85,25.98
2010-02-12,108.02,13.95,21.34,28.78,22.94,30.91,29.24,26.24,31.03,40.82,15.89,49.28,17.72,15.14,25.79
2010-02-16,109.73,14.24,21.66,29.29,23.48,31.13,29.7,26.5,31.75,41.97,16.18,51.14,17.96,16.0,25.66
2010-02-17,110.26,14.29,21.74,29.22,23.68,31.4,29.95,26.79,31.77,41.85,16.06,50.93,18.2,16.12,25.97
2010-02-18,110.96,14.37,21.88,29.38,23.9,31.51,30.12,26.89,32.13,42.06,16.01,51.55,18.31,15.86,26.44
2010-02-19,111.19,14.45,21.84,29.79,24.02,31.49,30.22,27.05,32.29,42.29,16.08,52.19,18.425,15.64,26.42
2010-02-22,111.13,14.63,21.79,29.6,24.03,31.49,30.19,27.2,32.16,41.43,16.11,52.26,18.395,15.71,26.25
2010-02-23,109.79,14.37,21.52,29.39,23.73,31.14,30.03,27.03,31.62,40.34,15.73,50.13,18.215,15.35,26.01
2010-02-24,110.82,14.62,21.72,29.41,23.97,31.38,30.43,26.98,31.58,40.81,15.74,50.09,18.495,15.64,26.4
2010-02-25,110.71,14.59,21.66,29.36,23.91,31.38,30.45,26.9,31.49,40.89,15.74,50.99,18.645,15.78,26.23
2010-02-26,110.75,14.68,21.68,29.13,24.0,31.41,30.51,27.2,31.5,41.08,15.84,51.33,18.645,15.95,26.06
2010-03-01,111.895,14.72,21.97,29.53,24.32,31.7,31.0,27.13,31.99,41.62,16.2,52.65,19.02,16.01,26.5
2010-03-02,112.17,14.77,21.928,29.66,24.36,31.83,30.9,27.23,32.29,42.0,16.12,53.97,19.01,16.05,26.51
2010-03-03,112.28,14.79,21.93,29.63,24.39,31.67,30.92,27.36,32.64,42.3,16.28,54.32,19.035,20.12,26.27
2010-03-04,112.65,14.92,22.03,29.65,24.51,31.6,31.22,27.42,32.74,41.98,16.26,54.43,19.41,19.471,26.42
2010-03-05,114.26,15.22,22.3,29.96,24.88,32.01,31.72,27.56,33.18,42.83,16.59,56.33,19.705,20.05,26.99
2010-03-08,114.27,15.25,22.41,30.01,24.77,31.85,31.85,27.59,33.14,42.61,16.8,56.06,19.81,20.39,26.72
2010-03-09,114.45,15.3,22.53,29.93,24.97,31.81,31.83,27.43,32.96,42.82,16.79,55.96,19.715,20.25,26.69
2010-03-10,114.98,15.46,22.67,29.95,25.01,31.84,31.94,27.49,32.97,43.59,16.83,56.19,19.88,21.81,27.01
2010-03-11,115.46,15.6,22.75,30.01,25.11,32.02,32.1,27.36,33.13,43.61,16.87,56.22,19.955,21.1,27.08
2010-03-12,115.45,15.54,22.77,29.83,25.27,31.88,32.2,27.5,33.33,43.74,16.82,56.8399,20.096,20.58,27.24
2010-03-15,115.5,15.54,22.73,29.95,25.27,32.05,32.22,27.44,33.23,43.17,16.82,55.81,20.155,20.68,27.26
2010-03-16,116.41,15.7278,22.88,30.28,25.61,32.14,32.39,27.66,33.75,43.44,16.97,57.47,20.3,21.16,27.26
2010-03-17,117.1,15.9,22.97,30.39,25.66,32.155,32.57,27.89,33.97,43.68,16.94,57.72,20.39,20.9,27.14
2010-03-18,117.03,15.83,23.01,30.28,25.83,32.37,32.57,27.94,33.71,42.43,16.87,56.38,20.405,20.78,27.28
2010-03-19,115.96,15.6875,22.78,29.95,25.74,32.25,32.32,27.92,33.34,41.76,16.5,55.43,20.24,20.04,26.78
2010-03-22,116.58,15.78,22.98,29.77,25.82,32.47,32.75,27.66,33.77,41.68,16.81,55.88,20.66,20.53,27.09
2010-03-23,117.42,15.89,23.19,29.86,26.11,32.58,32.88,27.9,34.19,42.24,16.93,57.62,20.865,20.97,27.1
2010-03-24,116.82,15.91,23.05,29.56,25.93,32.3,32.75,28.12,34.11,42.23,16.9,56.92,20.565,20.77,26.96
2010-03-25,116.64,15.9883,23.0875,29.3701,25.91,32.14,32.92,28.03,33.4401,41.01,16.8901,54.96,20.64,21.12,27.24
2010-03-26,116.65,16.0,23.04,29.43,25.98,31.91,33.08,27.95,33.7,40.72,16.95,55.74,20.8,21.49,27.1
2010-03-29,117.34,16.03,23.09,29.8,26.21,32.21,33.08,28.0,34.01,41.8,17.02,57.4,20.785,21.14,27.05
2010-03-30,117.37,15.93,23.18,29.76,26.25,32.242,33.09,28.1,34.09,41.8,17.02,56.71,20.785,20.75,27.44
2010-03-31,116.99,15.95,23.0402,29.66,26.1,32.14,32.84,28.05,33.91,42.12,16.82,56.76,20.655,20.64,27.09
2010-04-01,117.81,16.1,23.07,30.05,26.27,32.3,33.07,28.06,34.5,43.31,16.99,58.15,20.89,21.63,27.04
2010-04-05,118.78,16.26,23.32,30.22,26.46,32.22,33.47,28.19,34.91,44.32,17.32,59.9,21.165,21.72,27.78
2010-04-06,119.01,16.42,23.34,30.49,26.47,32.16,33.51,28.03,34.99,44.22,17.17,59.94,21.255,22.01,28.17
2010-04-07,118.38,16.34,23.26,30.22,26.32,32.03,33.35,28.0,34.75,43.8,16.93,59.38,21.12,21.19,28.11
2010-04-08,118.76,16.48,23.29,30.03,26.4,31.96,33.69,27.84,34.86,43.81,17.26,59.34,21.16,21.38,28.03
2010-04-09,119.54,16.54,23.49,30.2107,26.55,32.09,33.98,27.94,34.94,44.6,17.5,59.63,21.365,21.97,28.1
2010-04-12,119.76,16.61,23.55,30.31,26.61,32.03,33.98,28.03,34.79,44.41,17.67,59.43,21.34,22.09,27.85
2010-04-13,119.87,16.63,23.61,30.2,26.65,32.05,34.19,28.01,34.68,44.29,17.74,59.19,21.455,22.0,28.08
2010-04-14,121.17,17.06,23.93,30.2,27.0,31.9,34.67,28.03,34.92,44.71,18.29,59.94,21.935,22.44,28.23
2010-04-15,121.31,16.98,24.05,30.16,27.25,31.83,34.83,27.96,34.92,44.67,18.1,59.35,21.96,22.15,27.8
2010-04-16,119.36,16.35,23.72,29.83,26.81,31.65,34.35,27.94,34.31,43.67,17.83,57.49,21.69,21.56,27.89
2010-04-19,119.85,16.52,23.8,29.89,26.76,31.89,34.44,27.85,34.36,43.38,17.86,56.84,21.5,21.57,27.7
2010-04-20,120.87,16.74,23.9,30.24,27.07,31.98,34.83,28.07,34.45,44.29,18.21,57.19,21.61,22.12,27.82
2010-04-21,120.65,16.64,23.96,30.26,27.25,31.4,35.0,28.06,34.38,44.12,18.68,57.57,21.89,23.27,28.16
2010-04-22,121.0,16.74,24.0,30.37,27.5,31.01,35.6,27.96,34.68,44.52,19.32,57.81,22.395,24.35,28.67
2010-04-23,121.8,16.78,24.08,30.63,27.67,31.34,35.73,28.07,35.13,45.78,19.66,59.29,22.575,24.99,28.38
2010-04-26,121.34,16.51,24.04,30.51,27.73,31.0,35.96,28.05,35.15,45.63,19.51,59.17,22.67,25.15,28.5
2010-04-27,118.49,15.96,23.58,29.97,27.06,30.67,34.9176,27.84,33.97,44.17,18.66,56.56,21.91,23.69,27.83
2010-04-28,119.33,16.17,23.66,30.27,27.25,30.88,34.82,27.59,34.3,44.49,18.92,57.24,21.71,21.56,27.84
2010-04-29,120.84,16.56,23.88,30.31,27.87,31.28,35.55,27.78,34.57,44.7,19.46,57.07,22.12,21.05,28.65
2010-04-30,118.83,16.15,23.4,30.44,27.21,30.9,34.82,27.77,34.0,44.67,19.11,55.75,21.375,20.14,27.9
2010-05-03,120.39,16.46,23.71,30.85,27.76,31.06,35.54,27.66,34.01,45.58,19.53,55.56,21.805,20.55,28.34
2010-05-04,117.55,16.02,23.04,30.29,26.88,30.84,34.48,27.59,32.78,44.46,18.8507,53.04,21.265,19.86,27.33
2010-05-05,116.83,15.94,22.95,30.07,26.54,30.94,34.0,27.4,32.56,43.54,18.38,52.94,21.265,19.61,27.09
2010-05-06,112.88,15.25,22.2556,29.26,25.66,30.09,32.72,27.5,31.47,41.95,17.65,52.19,20.43,19.54,26.06
2010-05-07,111.3,15.1,21.73,29.09,25.09,29.71,32.16,26.8,31.09,40.5,17.07,51.66,19.9,18.64,25.45
2010-05-10,116.16,15.94,22.74,30.01,26.53,30.51,33.86,27.61,32.59,42.69,18.4,54.91,21.045,20.53,26.97
2010-05-11,115.83,15.87,22.658,30.04,26.45,30.47,33.88,27.33,32.18,42.35,18.37,53.85,21.12,20.19,26.87
2010-05-12,117.45,16.05,23.14,30.34,27.04,30.7,34.31,27.51,32.85,43.6,18.88,55.55,21.51,21.42,27.63
2010-05-13,116.0,15.77,22.87,30.17,26.62,30.41,33.59,27.68,32.43,43.49,18.34,55.48,20.835,20.9,27.28
2010-05-14,113.9,15.36,22.42,29.94,26.06,29.96,33.04,27.49,31.61,42.57,17.94,53.82,20.41,20.41,26.36
2010-05-17,113.95,15.36,22.51,29.97,25.99,29.98,33.24,27.37,31.58,41.62,17.95,52.0,20.6,20.86,26.17
2010-05-18,112.41,14.93,22.19,29.67,25.67,29.75,32.64,27.7,31.1,41.37,17.63,51.11,20.105,20.57,25.72
2010-05-19,111.79,14.94,22.02,29.39,25.34,29.69,32.37,27.24,31.02,40.82,17.35,50.15,19.99,20.1,25.67
2010-05-20,107.538,14.24,21.32,28.45,24.24,28.72,31.18,27.0,29.64,38.65,16.61,46.95,19.43,19.11,24.69
2010-05-21,109.1,14.76,21.48,28.62,24.58,28.79,31.73,26.1,30.4,39.46,16.75,48.72,19.875,19.46,25.09
2010-05-24,107.7201,14.33,21.36,28.38,24.21,28.73,31.5,26.5,29.87,38.55,16.61,48.02,19.77,19.75,24.6
2010-05-25,107.8075,14.45,21.33,28.19,24.2,28.6,31.78,25.91,30.36,38.68,16.73,49.38,20.005,19.62,24.63
2010-05-26,107.15,14.35,21.11,28.15,24.25,28.42,31.68,26.18,30.08,38.98,16.77,49.19,19.63,19.51,25.1
2010-05-27,110.78,15.01,21.84,28.73,25.07,29.0,32.84,26.31,31.29,41.12,17.42,52.17,20.4,20.61,25.93
2010-05-28,109.35,14.68,21.64,28.72,24.73,28.83,32.37,26.5,30.76,41.01,17.18,51.26,20.305,20.21,25.7
2010-06-01,107.52,14.38,21.42,28.0913,24.18,28.53,31.89,26.26,29.75,39.4,16.56,48.46,19.855,18.96,25.05
2010-06-02,110.31,14.82,21.89,28.69,24.81,29.18,32.64,26.41,30.6622,41.68,16.87,51.03,20.18,19.11,25.13
2010-06-03,110.71,14.738,22.13,28.97,24.92,29.33,32.76,26.8,30.34,42.81,16.9,50.27,20.32,19.3,24.9
2010-06-04,107.01,14.15,21.45,28.13,23.75,28.48,31.55,26.55,29.12,40.84,16.05,47.61,19.38,17.82,23.67
2010-06-07,105.5,13.865,21.09,28.3,23.14,28.45,30.96,26.03,28.59,40.42,15.42,46.49,18.885,16.88,23.5
2010-06-08,106.57,14.13,21.15,28.67,23.39,28.5,31.19,25.9,29.29,40.88,15.38,47.75,19.115,16.09,23.88
2010-06-09,106.01,14.01,21.0,28.5,23.39,28.34,31.22,26.49,29.24,40.58,15.39,47.87,19.205,16.43,23.74
2010-06-10,109.19,14.47,21.55,29.23,24.29,28.92,32.22,26.52,30.28,42.62,16.13,50.14,19.75,17.23,24.46
2010-06-11,109.66,14.52,21.74,29.24,24.37,29.18,32.26,26.54,30.66,42.96,16.14,50.87,19.875,17.69,24.96
2010-06-14,109.52,14.44,21.7,29.35,24.35,29.22,32.33,26.66,30.38,42.99,16.22,50.9,20.095,18.23,25.04
2010-06-15,111.98,14.8,22.27,29.94,25.08,29.71,33.1,26.76,31.13,44.2,16.59,52.34,20.365,17.72,25.66
2010-06-16,111.94,14.8,22.32,30.14,25.01,29.8,32.88,26.75,31.1,44.26,16.41,51.8741,20.1,17.06,25.81
2010-06-17,112.12,14.79,22.4,30.35,25.09,29.83,32.67,26.83,30.96,43.85,16.02,51.35,19.93,16.81,26.25
2010-06-18,111.71,14.84,22.32,30.08,25.21,29.6,32.49,26.86,30.98,43.92,15.82,51.7,19.74,16.74,26.32
2010-06-21,111.36,14.8,22.18,29.86,25.25,29.46,32.2,26.9,31.14,43.57,15.63,52.21,19.295,16.42,26.44
2010-06-22,109.57,14.58,21.99,29.14,24.64,29.21,31.49,26.57,30.43,42.0,15.23,50.34,18.92,16.01,25.84
2010-06-23,109.21,14.54,21.92,28.83,24.54,29.13,31.49,26.4,30.45,41.82,15.42,50.91,19.06,16.47,26.16
2010-06-24,107.44,14.235,21.53,28.72,24.12,28.9,30.73,26.32,29.71,40.97,15.11,49.4,18.59,15.5,25.76
2010-06-25,107.89,14.64,21.45,28.84,24.3,29.01,30.79,26.19,30.12,41.55,15.16,50.75,18.71,15.91,26.1
2010-06-28,107.48,14.5,21.48,29.04,24.13,28.96,30.6,25.9,29.78,40.89,15.12,49.36,18.575,15.59,25.4
2010-06-29,104.22,13.97,20.72,28.45,23.2,28.42,29.5,25.91,28.69,39.23,14.48,46.37,17.915,14.06,24.58
2010-06-30,103.11,13.8,20.38,28.22,23.05,28.18,29.14,25.61,28.31,39.01,14.31,45.65,17.815,13.98,24.29
2010-07-01,102.79,13.68,20.34,28.14,22.98,27.95,29.38,25.53,28.16,38.58,14.21,45.15,18.175,13.9,24.34
2010-07-02,102.26,13.52,20.3,28.1501,22.7,28.01,29.05,25.6,28.06,38.16,14.02,44.72,8.111,13.58,24.25
2010-07-06,102.87,13.6,20.45,28.5,22.74,28.17,29.05,25.69,28.1,38.2,13.89,44.78,8.0,12.56,23.49
2010-07-07,106.13,14.21,21.16,29.37,23.53,28.71,29.89,25.63,29.23,39.76,14.51,47.14,8.251,13.65,23.99
2010-07-08,107.15,14.3,21.27,29.61,23.83,28.97,30.09,26.28,29.67,40.39,14.57,47.63,8.251,13.95,24.02
2010-07-09,107.92,14.51,21.39,29.8,24.07,29.04,30.38,26.47,30.36,40.5,14.87,49.0,8.371,14.17,24.13
2010-07-12,108.02,14.54,21.52,29.9,23.94,28.99,30.44,26.38,30.01,40.19,14.66,47.46,18.29,13.71,24.03
2010-07-13,109.66,14.895,21.77,30.02,24.36,29.18,31.19,26.76,30.74,40.78,15.21,48.28,18.755,14.76,24.51
2010-07-14,109.66,14.78,21.95,30.02,24.41,29.2,31.01,26.71,30.73,40.63,14.92,48.32,18.69,14.48,24.38
2010-07-15,109.72,14.75,21.96,30.19,24.4,29.3,31.13,26.85,30.71,40.66,14.97,48.08,18.785,14.1,24.56
2010-07-16,106.66,14.12,21.36,29.71,23.59,28.66,30.03,26.79,29.83,39.29,14.24,46.3,18.15,13.21,23.92
2010-07-19,107.32,14.12,21.59,30.14,23.72,28.81,30.32,26.52,29.9,39.28,14.2,46.21,18.21,13.19,24.64
2010-07-20,108.47,14.28,21.74,30.4,24.09,28.73,30.77,26.34,30.78,40.3,14.72,48.26,18.645,13.81,24.74
2010-07-21,107.1,14.03,21.47,29.97,24.03,28.28,30.21,26.98,30.62,39.82,14.51,47.98,18.305,14.99,24.1
2010-07-22,109.46,14.45,22.03,30.45,24.77,28.43,31.14,26.83,31.34,40.63,15.02,50.15,18.815,15.85,24.87
2010-07-23,110.41,14.55,22.18,30.4986,25.27,28.45,31.53,26.86,31.99,40.8,15.43,51.29,19.225,16.14,25.0
2010-07-26,111.58,14.77,22.33,30.67,25.68,28.86,32.01,27.23,32.183,41.51,15.81,51.66,19.55,17.2,25.39
2010-07-27,111.52,14.8,22.36,31.17,25.5,28.87,31.63,27.36,32.0,40.82,15.3,49.85,19.225,16.36,25.43
2010-07-28,110.81,14.67,22.21,31.03,25.44,28.48,31.4,27.34,31.85,40.49,14.87,49.27,18.99,15.73,25.09
2010-07-29,110.28,14.71,22.01,30.55,25.35,28.475,31.23,27.13,31.83,40.67,14.9402,49.45,18.91,15.37,24.77
2010-07-30,110.32,14.71,21.92,30.37,25.45,28.54,31.43,26.74,31.99,40.61,15.05,49.83,19.055,15.32,24.67
2010-08-02,112.74,15.09,22.365,30.97,25.96,29.1,32.07,27.26,32.84,41.81,15.46,51.67,19.445,15.74,25.29
2010-08-03,112.2,14.91,22.28,30.86,25.82,29.32,31.64,27.11,32.3,41.93,15.06,51.26,18.93,15.52,25.55
2010-08-04,112.97,14.96,22.42,30.95,26.05,29.63,32.14,27.09,32.54,42.72,15.03,52.09,19.26,16.04,25.39
2010-08-05,112.84,14.915,22.34,30.95,26.07,29.62,32.21,27.06,32.65,42.81,14.91,51.84,19.225,15.57,25.04
2010-08-06,112.39,14.79,22.28,30.97,25.92,29.71,32.05,26.91,32.52,42.48,15.0,52.47,19.125,15.34,24.95
2010-08-09,112.9801,14.862,22.41,31.13,26.06,29.8,32.32,27.21,32.66,42.78,15.41,52.37,19.36,15.52,25.22
2010-08-10,112.42,14.73,22.21,31.27,25.88,29.87,32.08,27.09,32.33,42.3,14.98,51.33,19.06,15.02,25.1
2010-08-11,109.2901,14.2,21.67,30.67,24.91,29.1,31.21,27.02,31.3,40.68,14.44,48.81,18.605,14.62,24.98
2010-08-12,108.64,14.1099,21.37,30.58,24.74,29.2,31.08,26.55,31.4,40.24,14.18,49.04,18.725,14.69,24.71
2010-08-13,108.3,14.075,21.26,30.68,24.7,29.09,30.76,26.69,31.31,40.21,14.135,48.65,18.455,13.91,24.23
2010-08-16,108.28,14.04,21.31,30.71,24.65,28.97,30.75,26.58,31.45,39.98,14.11,49.21,18.515,13.84,24.41
2010-08-17,109.6,14.13,21.56,30.99,25.08,29.35,31.23,27.0,32.19,40.64,14.48,50.67,18.705,14.85,24.97
2010-08-18,109.78,14.19,21.67,30.83,25.17,29.3,31.51,26.98,32.3,40.32,14.82,51.17,18.945,14.96,24.89
2010-08-19,107.92,13.865,21.4,30.39,24.64,28.8,30.94,26.96,31.58,39.74,14.385,50.33,18.695,14.01,24.06
2010-08-20,107.54,13.83,21.35,30.46,24.51,28.68,30.89,26.65,31.49,39.11,14.355,49.77,18.72,14.33,24.4
2010-08-23,107.12,13.74,21.18,30.64,24.24,28.78,30.63,26.82,31.14,39.18,14.07,48.61,18.535,13.93,24.56
2010-08-24,105.58,13.51,20.885,30.7225,23.75,28.2,30.14,26.54,30.41,38.34,13.97,47.06,18.195,13.6,24.38
2010-08-25,105.93,13.54,20.99,30.7,23.7,28.46,30.42,26.52,30.49,38.17,14.39,47.22,18.48,14.36,24.81
2010-08-26,105.2,13.43,20.81,30.55,23.67,28.27,30.22,26.74,30.5,38.03,14.15,46.66,18.27,13.76,24.29
2010-08-27,106.86,13.73,21.03,31.1,24.15,28.54,30.68,26.68,31.38,39.1,14.53,48.41,18.445,14.28,24.95
2010-08-30,105.33,13.45,20.77,30.69,23.78,28.23,30.15,26.67,30.92,38.77,14.21,47.49,18.03,13.65,24.65
2010-08-31,105.4,13.555,20.71,30.8,23.69,28.12,30.2,26.38,31.03,38.54,14.15,48.39,17.975,13.47,24.7
2010-09-01,108.47,14.085,21.23,31.48,24.63,28.76,31.21,26.77,31.97,39.82,14.74,50.388,18.67,14.48,25.28
2010-09-02,109.46,14.21,21.39,31.45,24.94,28.9,31.79,26.95,32.32,40.21,15.16,50.9499,19.075,15.48,25.03
2010-09-03,110.91,14.51,21.72,31.63,25.32,29.17,32.29,27.3,32.72,40.93,15.35,51.55,19.38,15.8,25.32
2010-09-07,109.67,14.185,21.56,31.46,25.08,29.0,31.76,27.16,32.42,40.25,14.94,51.44,19.095,15.02,24.77
2010-09-08,110.39,14.335,21.66,31.35,25.34,29.15,31.99,27.22,32.68,40.61,15.0,51.95,19.29,15.13,24.87
2010-09-09,110.93,14.5,21.72,31.6,25.32,29.48,31.99,27.42,32.58,40.53,15.09,51.16,19.205,15.21,24.74
2010-09-10,111.52,14.53,21.74,31.46,25.54,29.78,32.3,27.4,32.83,41.04,15.17,51.65,19.34,15.54,25.02
2010-09-13,112.74,14.84,22.12,31.57,25.8,29.82,32.66,27.72,33.36,41.51,15.52,52.46,19.77,15.87,25.51
2010-09-14,112.65,14.71,22.22,31.51,25.72,29.91,32.7,27.53,33.28,41.4,15.39,52.25,20.125,15.47,25.36
2010-09-15,113.11,14.76,22.37,31.36,25.72,30.19,32.78,27.55,33.24,41.09,15.305,52.03,20.155,15.7,25.49
2010-09-16,113.07,14.71,22.5,31.22,25.69,30.09,32.77,27.71,33.39,40.82,15.13,52.61,20.14,15.22,25.22
2010-09-17,112.49,14.61,22.52,30.83,25.95,29.94,32.75,27.73,32.73,40.49,15.07,51.74,20.175,15.67,25.41
2010-09-20,114.22,14.89,22.86,31.25,26.34,30.33,33.38,27.66,32.94,41.2,15.55,52.25,20.56,16.54,25.96
2010-09-21,114.0,14.75,22.83,31.11,26.39,30.38,33.24,27.88,32.78,41.01,15.65,52.07,20.34,17.01,25.71
2010-09-22,113.43,14.5095,22.71,31.31,26.25,30.41,33.03,27.75,32.88,40.56,15.39,52.51,20.275,16.23,25.38
2010-09-23,112.49,14.23,22.7,30.97,25.86,30.25,32.85,27.73,32.57,40.26,15.18,51.94,20.34,16.08,24.98
2010-09-24,114.8,14.6,23.13,31.46,26.57,30.66,33.7,27.91,33.36,41.12,15.73,53.398,20.885,17.27,25.86
2010-09-27,114.29,14.45,23.15,31.5399,26.41,30.44,33.51,28.04,33.16,41.05,15.73,53.19,20.815,17.17,25.76
2010-09-28,114.72,14.48,23.15,31.61,26.55,30.68,33.74,27.98,33.15,41.33,15.91,53.55,21.09,17.29,25.77
2010-09-29,114.43,14.37,23.12,31.48,26.54,30.59,33.5,28.05,32.88,42.22,15.81,53.75,21.025,17.58,25.62
2010-09-30,114.1,14.345,23.02,31.36,26.44,30.4975,33.43,28.1,32.77,42.25,15.8,53.46,20.91,17.43,25.49
2010-10-01,114.6299,14.49,23.03,31.57,26.46,30.5,33.47,27.91,33.188,42.77,15.8,54.48,20.985,17.45,25.5
2010-10-04,113.74,14.4001,22.81,31.48,26.19,30.22,33.38,27.89,32.69,42.17,15.61,53.15,20.795,17.04,25.72
2010-10-05,116.03,14.73,23.3,31.8301,26.89,30.74,34.08,28.0,33.62,43.23,15.81,54.55,21.1,18.87,26.12
2010-10-06,116.04,14.73,23.17,31.69,27.05,30.66,33.8901,28.18,33.89,43.53,15.81,55.38,21.04,18.51,26.25
2010-10-07,115.89,14.665,23.17,31.73,26.99,30.69,33.99,28.3,33.57,43.32,15.71,54.39,21.19,18.455,26.16
2010-10-08,116.55,14.69,23.3,31.84,27.22,30.77,34.36,28.13,34.24,44.05,15.89,56.3,21.425,18.71,26.31
2010-10-11,116.65,14.67,23.34,31.84,27.14,30.79,34.39,28.21,34.2,44.23,15.82,56.46,21.67,18.59,26.18
2010-10-12,117.04,14.8505,23.48,31.72,27.12,30.86,34.46,28.18,34.26,44.15,15.83,56.21,21.91,18.88,26.17
2010-10-13,117.89,14.86,23.68,31.83,27.57,31.08,34.54,28.43,34.81,44.81,15.93,57.23,21.88,18.81,26.86
2010-10-14,117.52,14.595,23.69,31.8,27.41,31.04,34.46,28.57,34.5,44.72,15.73,56.7,21.785,18.56,26.9
2010-10-15,117.73,14.35,24.08,31.89,27.24,31.15,34.7,28.65,34.57,44.73,15.6,56.24,21.995,18.37,26.7
2010-10-18,118.55,14.66,24.21,32.15,27.22,31.43,34.66,28.6,34.69,45.17,15.55,56.45,21.995,18.95,26.87
2010-10-19,116.7065,14.47,23.81,31.97,26.86,30.89,34.16,28.57,33.8575,43.86,15.42,54.34,21.42,17.6,26.37
2010-10-20,117.87,14.62,24.0,32.21,27.24,31.11,34.54,28.53,34.55,44.17,15.51,55.77,21.61,16.35,27.06
2010-10-21,118.11,14.61,24.03,32.08,27.46,31.22,34.78,28.65,34.55,43.68,15.71,54.79,21.495,15.98,27.93
2010-10-22,118.38,14.61,24.13,31.89,27.45,31.26,34.98,28.79,34.34,43.82,15.66,54.72,21.655,15.47,27.73
2010-10-25,118.68,14.55,24.21,31.8,27.55,31.42,35.18,28.89,34.95,43.91,15.74,55.67,21.8,15.64,27.97
2010-10-26,118.71,14.58,24.24,31.73,27.42,31.31,35.31,28.72,34.82,43.72,15.68,55.59,22.0,15.68,28.04
2010-10-27,118.38,14.59,24.3,31.57,27.22,31.15,35.12,28.61,34.51,43.53,15.55,55.25,21.761,15.72,28.33
